ano,bairro,roubo_bicicleta,furto_bicicleta,total_crimes
2023,GUADALUPE,0,6,6
2023,GUARATIBA,0,7,7
2023,GÁVEA,2,44,46
2023,HIGIENÓPOLIS,2,16,18
2023,HONÓRIO GURGEL,0,7,7
2023,HUMAITÁ,18,176,194
2023,INHAÚMA,1,11,12
2023,INHOAÍBA,1,49,50
2023,IPANEMA,11,298,309
2023,IRAJÁ,2,9,11
2023,ITANHANGÁ,4,92,96
2023,JACAREPAGUÁ,3,31,34
2023,JACAREZINHO,0,3,3
2023,JACARÉ,0,15,15
2023,JARDIM AMÉRICA,1,2,3
2023,JARDIM BOTÂNICO,2,44,46
2023,JARDIM CARIOCA,1,25,26
2023,JARDIM GUANABARA,1,25,26
2023,JARDIM SULACAP,0,38,38
2023,JOÁ,4,92,96
2023,LAGOA,2,44,46
2023,LAPA,2,65,67
2023,LARANJEIRAS,27,98,125
2023,LEBLON,11,298,309
2023,LEME,17,206,223
2023,LINS DE VASCONCELOS,1,3,4
2023,MADUREIRA,0,14,14
2023,MAGALHÃES BASTOS,0,38,38
2023,MANGUEIRA,4,6,10
2023,MANGUINHOS,2,16,18
2023,MARACANÃ,7,28,35
2023,MARECHAL HERMES,0,8,8
2023,MARIA DA GRAÇA,1,11,12
2023,MARÉ,2,16,18
2023,MONERÓ,1,25,26
2023,MÉIER,0,7,7
2023,OLARIA,0,7,7
2023,PACIÊNCIA,0,17,17
2023,PADRE MIGUEL,3,35,38
2023,PAQUETÁ,2,65,67
2023,PARQUE ANCHIETA,0,6,6
2023,PARQUE COLÚMBIA,0,11,11
2023,PAVUNA,0,11,11
2023,PECHINCHA,2,17,19
2023,PEDRA DE GUARATIBA,0,7,7
2023,PENHA,0,7,7
2023,PENHA CIRCULAR,0,7,7
2023,PIEDADE,4,5,9
2023,PILARES,4,5,9
2023,PITANGUEIRAS,1,25,26
2023,PORTUGUESA,1,25,26
2023,PRAIA DA BANDEIRA,1,25,26
2023,PRAÇA DA BANDEIRA,7,28,35
2023,PRAÇA SECA,0,16,16
2023,QUINTINO BOCAIÚVA,0,14,14
2023,RAMOS,2,16,18
2023,REALENGO,0,38,38
2023,RECREIO DOS BANDEIRANTES,6,106,112
2023,RIACHUELO,0,3,3
2023,RIBEIRA,1,25,26
2023,RICARDO DE ALBUQUERQUE,0,6,6
2023,RIO COMPRIDO,2,18,20
2023,ROCHA,0,3,3
2023,ROCHA MIRANDA,0,7,7
2023,ROCINHA,0,0,0
2023,SAMPAIO,0,3,3
2023,SANTA CRUZ,1,37,38
2023,SANTA TERESA,1,5,6
2023,SANTO CRISTO,1,18,19
2023,SANTÍSSIMO,1,49,50
2023,SAÚDE,1,18,19
2023,SENADOR CAMARÁ,3,35,38
2023,SENADOR VASCONCELOS,1,49,50
2023,SEPETIBA,0,7,7
2023,SÃO CONRADO,2,44,46
2023,SÃO FRANCISCO XAVIER,0,3,3
2023,TANQUE,2,33,35
2023,TAQUARA,3,31,34
2023,TAUÁ,1,25,26
2023,TIJUCA,18,64,82
2023,TODOS OS SANTOS,1,10,11
2023,TOMÁS COELHO,1,11,12
2023,URCA,18,176,194
2023,VARGEM GRANDE,6,106,112
2023,VARGEM PEQUENA,6,106,112
2023,VASCO DA GAMA,4,6,10
2023,VAZ LOBO,0,14,14
2023,VICENTE DE CARVALHO,2,9,11
2023,VIDIGAL,2,44,46
2023,VIGÁRIO GERAL,1,2,3
2023,VILA DA PENHA,2,9,11
2023,VILA ISABEL,0,33,33
