fid,ext,tipo_infra,fluxo_infr,inicio,contabilizar,vias,area_plane,local_infr,final,SHAPE__Length,rp,status,cod_rp,score_infra,cluster_seguranca,score_seguranca_final,safety_score_refinado,safety_score_final_v2
393,6.87874211,CICLOVIA,BIDIRECIONAL,Número 1700,Sim,Avenida Lúcio Costa,4,Na calçada,Número 14800,6878.25535271709,BARRA DA TIJUCA,IMPLANTADA,4.2,1,2,2.5,2.5,2.5
394,0.60358313,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,"Avenida Salvador Allende, antes da transição para a Avenida Embaixador Bueno",Sim,Avenida Embaixador Abelardo Bueno,4,Na calçada,Oposto ao Condomínio Origami,603.54194920886,BARRA DA TIJUCA,IMPLANTADA,4.2,4,2,2.5,2.5,2.5
395,0.40650797,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 3514,Sim,Avenida Embaixador Abelardo Bueno,4,Na calçada,Avenida Salvador Allende,406.480577689376,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
396,0.85222803,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Avenida Embaixador Abelardo Bueno,Sim,Avenida Salvador Allende,4,Na calçada,Rua Francisco de Paula,852.171343163249,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
397,0.60756847,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Número 1570,Sim,Avenida Alfredo Balthazar da Silveira,4,No bordo direito da pista,Número 2130,607.514242471371,BARRA DA TIJUCA,IMPLANTADA,4.2,3,2,2.5,1.0,1.0
398,0.09901544,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 214,Sim,Praia de Botafogo,2,Na calçada,Rua Fernando Ferrari,99.0184191304798,BOTAFOGO,IMPLANTADA,2.1,4,2,2.5,2.5,3.0
399,0.46319458,CICLOVIA,BIDIRECIONAL,Rua General Severiano,Sim,Avenida Lauro Sodré,2,No bordo esquerdo da pista,Próximo ao número 1746,463.209240111558,BOTAFOGO,IMPLANTADA,2.1,1,2,2.5,1.0,1.5
400,0.54763559,CICLOVIA,BIDIRECIONAL,Avenida Atlântica,Sim,Avenida Princesa Isabel,2,No canteiro central,Próximo ao Túnel do Leme,547.653549776053,COPACABANA,IMPLANTADA,2.1,1,2,2.5,3.0,3.5
401,0.89791444,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Humaitá,Sim,Rua Visconde de Silva,2,Na calçada,Número 68,897.93474919709,BOTAFOGO,IMPLANTADA,2.1,4,2,2.5,2.5,3.0
402,0.45866531,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 333,Sim,Rua Muniz Barreto,2,No bordo esquerdo da pista,Número 621,458.678311426848,BOTAFOGO,IMPLANTADA,2.1,3,0,6.0,4.5,5.0
403,3.32954516,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Oposto ao número 701,Sim,Avenida Borges de Medeiros,2,Na calçada,Praça José M Filho,3329.59216365505,LAGOA,IMPLANTADA,2.1,4,2,2.5,2.5,3.0
404,0.49415164,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Avenida Borges de Medeiros,Sim,Parque dos Patins,2,Praça,Heliponto da Lagoa Rodrigo de Freitas,494.158027523581,LAGOA,IMPLANTADA,2.1,4,2,2.5,2.0,2.5
