infra_tipo,infra_fluxo,vias,inicio,final,bairro,extensao_metros,area_planejamento,score_c,score_d,peso_v,peso_h,safety_score_final_v2,risco_infraestrutura,score_risco,categoria_seguranca,cor
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA CAPITÃO MENEZES,Rua Pedro Téles,Travessa Antônina,JACAREPAGUÁ,"584,348168676472",4,"96,8","61,0","1,2","2,0","4,5","6,5","385,2",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA CAPITÃO MENEZES,Rua Maricá,Rua Pedro Téles,JACAREPAGUÁ,"40,504640771398",4,"96,8","61,0","1,2","2,0","4,5","6,5","385,2",Alta segurança,verde
Faixa compartilhada na pista,Bidirecional,RUA MARICÁ,Rua Ana Teles,Rua Pinto Teles,MADUREIRA,"74,938396991494",3,"28,8","92,0","1,2","2,0","6,0","5,0","294,9",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA DOUTOR BERNARDINO,Rua Japurá,Rua Pedro Téles,JACAREPAGUÁ,"211,166777144441",4,"96,8","61,0","1,0","1,0","4,5","6,5","164,3",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA BOA VISTA,Número 187,Avenida Teixeira Brandão,JACAREPAGUÁ,"158,323330706476",4,"96,8","61,0","1,5","3,0","2,5","8,5","718,6",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA TEIXEIRA BRANDÃO,Avenida Adauto Botelho,Rua Boa Vista,JACAREPAGUÁ,"319,768768527175",4,"96,8","61,0","1,0","1,0","2,5","8,5","166,3",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA ADAUTO BOTELHO,Rua Dantes de Palmares,Estrada Rodrigues Caldas,JACAREPAGUÁ,"338,889630352489",4,"96,8","61,0","1,0","1,0","2,5","8,5","166,3",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA ADAUTO BOTELHO,Avenida Teixeira Brandão,Rua Dantes de Palmares,JACAREPAGUÁ,"1450,44521173476",4,"96,8","61,0","1,0","1,0","2,5","8,5","166,3",Alta segurança,verde
Faixa compartilhada na pista,Não identificado,RUA DA VENTURA,Rua da Reverência,Rua André Rocha,JACAREPAGUÁ,"734,664804513917",4,"96,8","61,0","1,0","2,0","9,0","2,0","317,6",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",PRAÇA DELFOS,"Rua Mandina, em torno da Praça Delfos","Rua Creso, em torno da Praça Delfos",JACAREPAGUÁ,"199,685457618644",4,"96,8","61,0","1,0","1,0","4,5","6,5","164,3",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no contrafluxo dos automóveis",PRAÇA DO BANDOLIM,"Rua João Bruno Lobo, em torno da Praça do Bandolim","Rua Mandina, em torno da Praça do Bandolim",JACAREPAGUÁ,"52,0180587943934",4,"96,8","61,0","1,2","1,0","4,5","6,5","195,9",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DO TINDIBA,Praça Professora Nídea Otero,Número 3147,JACAREPAGUÁ,"268,749580759249",4,"96,8","61,0","2,0","3,0","2,5","8,5","955,3",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no contrafluxo dos automóveis",RUA RODOLFO PORTUGAL MILWARD,Rua Soldado Bruno Estrífica,Rua da Reverência,JACAREPAGUÁ,"581,631140080252",4,"96,8","61,0","1,0","1,0","6,0","5,0","162,8",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA CRESO,Próximo a Praça Delfos,Número 17,JACAREPAGUÁ,"441,151123048264",4,"96,8","61,0","1,0","1,0","5,5","5,5","163,3",Alta segurança,verde
Faixa compartilhada na pista,Não identificado,RUA MANDINA,Praça do Bandolim,Praça Delfo,JACAREPAGUÁ,"601,0221860715",4,"96,8","61,0","1,0","1,0","9,0","2,0","159,8",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA DIÓGENES,Rua João Bruno Lobo,Rua Delfos,JACAREPAGUÁ,"244,985733442571",4,"96,8","61,0","1,0","1,0","4,5","6,5","164,3",Alta segurança,verde
Faixa compartilhada na pista,Não identificado,RUA SOLDADO BRUNO ESTRIFICA,Rua Rodolfo Portugal Milward,Rua João Bruno Lobo,JACAREPAGUÁ,"152,857255553049",4,"96,8","61,0","1,0","1,0","9,0","2,0","159,8",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA ISIDRO DE FIGUEIREDO,Número 57,Número 03,TIJUCA,"214,157676603737",2,"224,8","117,0","1,0","1,0","5,0","6,0","347,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,ESTRADA DA CACHAMORRA,Número 12  (Sentido Guaratiba),Praça Antônio Goulart,CAMPO GRANDE,"224,639834076272",5,"90,0","121,7","1,2","4,0","0,8","10,2","1026,4",Alta segurança,verde
Ciclofaixa,Não identificado,AVENIDA MARACANÃ,Avenida Radial Oeste,Rua Professor Eurico Rabelo,TIJUCA,"457,765311988055",2,"224,8","117,0","2,0","3,0","10,0","1,0","2051,8",Alta segurança,verde
Faixa compartilhada na pista,Bidirecional,AVENIDA CIDADE DE LIMA,Rua Cordeiro da Graça,Avenida Professor Pereira Reis,CENTRO,"303,157968638481",1,"894,4","117,4","1,5","2,0","1,0","10,0","3045,4",Segurança moderada,verde claro
