logradouro,bairro,hierarquia,velocidade_maxima,peso_h,peso_v
RUA PROFESSOR RAMIRO DE MATOS,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROFESSOR ZAPHIRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROFESSORA CELINA PADILHA,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROFESSORA FIRMINA DE ARAUJO,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROFESSORA HELIA COSTA,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROGRESSO,CAMPO GRANDE,Local,20,1,"1,0"
RUA PROJETADA,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA 1 PAA 12357,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA 2 PAA 12357,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA A,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA A A,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA A PAA 12490/PAL 48650,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA A PAA 12544/PAL 48933,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA A PAA 12679/PAL 49435,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA A PAA 12702,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA B,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA B PAA 12490/PAL 48650,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA C,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA C PAA 12490/PAL 48650,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA D PAA 12490/PAL 48650,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA DEZ B,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA DOIS,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA E,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA E PAA 12490/PAL 48650,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA F,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA G,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA I,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA J,CAMPO GRANDE,Local,20,1,"1,0"
RUA PROJETADA M,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA ONZE,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA QUATRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA SEIS,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA TRÊS,CAMPO GRANDE,Local,30,1,"1,0"
RUA PROJETADA UM,CAMPO GRANDE,Local,30,1,"1,0"
RUA PÁTRIA AMADA,CAMPO GRANDE,Local,30,1,"1,0"
RUA PÉRICLES MARANHÃO,CAMPO GRANDE,Local,30,1,"1,0"
RUA PÉTALAS DE FLORES,CAMPO GRANDE,Local,30,1,"1,0"
RUA Q,CAMPO GRANDE,Local,30,1,"1,0"
RUA QUARENTA E SEIS,CAMPO GRANDE,Local,30,1,"1,0"
RUA QUARENTA E SETE,CAMPO GRANDE,Local,30,1,"1,0"
RUA QUARENTA E UM - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA QUARTETO,CAMPO GRANDE,Local,30,1,"1,0"
RUA QUATRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA QUATRO - 4,CAMPO GRANDE,Local,30,1,"1,0"
RUA QUERO-QUERO,CAMPO GRANDE,Local,30,1,"1,0"
RUA R,CAMPO GRANDE,Local,30,1,"1,0"
RUA RAFIA,CAMPO GRANDE,Local,30,1,"1,0"
RUA RAIMUNDO MONIZ CANTANHEDE,CAMPO GRANDE,Local,30,1,"1,0"
RUA RAIMUNDO RAMOS,CAMPO GRANDE,Local,30,1,"1,0"
RUA RAMALHO NOVO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RAMIRO BARCELOS,CAMPO GRANDE,Local,30,1,"1,0"
RUA RAMIRO DA SILVA JORDÃO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RAUL DE LEONI,CAMPO GRANDE,Local,30,1,"1,0"
RUA RAUL MENEZES,CAMPO GRANDE,Local,30,1,"1,0"
RUA RAUL SEIXAS,CAMPO GRANDE,Local,30,1,"1,0"
RUA RAVENA,CAMPO GRANDE,Local,30,1,"1,0"
RUA RAÍZES DE FLORES,CAMPO GRANDE,Local,30,1,"1,0"
RUA RECANTO DA ESPERANÇA,CAMPO GRANDE,Local,30,1,"1,0"
RUA RECANTO DA FELICIDADE,CAMPO GRANDE,Local,30,1,"1,0"
RUA RECANTO DA FRATERNIDADE,CAMPO GRANDE,Local,30,1,"1,0"
RUA RECANTO DA PAZ,CAMPO GRANDE,Local,30,1,"1,0"
RUA RECANTO DO AMOR,CAMPO GRANDE,Local,30,1,"1,0"
RUA RECANTO DOS AMIGOS,CAMPO GRANDE,Local,30,1,"1,0"
RUA REGENTE DO BAIRRO IRACEMA,CAMPO GRANDE,Local,30,1,"1,0"
RUA REGINA BENEDITO,CAMPO GRANDE,Local,30,1,"1,0"
RUA REGINA COELI,CAMPO GRANDE,Local,30,1,"1,0"
RUA REMANSO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RENATO SOEIRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RESPLENDOR,CAMPO GRANDE,Local,30,1,"1,0"
RUA RESTINGA,CAMPO GRANDE,Local,30,1,"1,0"
RUA REVERENDO PORTO FILHO,CAMPO GRANDE,Local,30,1,"1,0"
RUA REYNALDO MOURA,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIACHO GRANDE,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIACHO SECO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIACHÃO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIBEIRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RICARDO TEIXERA,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIGOLETO RANGEL DE CARVALHO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RINCÃO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIO BONITO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIO CASCA,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIO DE CONTAS,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIO LARGO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIO MANSO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIO NOVO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIO PARDO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RIO VERMELHO,CAMPO GRANDE,Local,20,1,"1,0"
RUA ROBERTO MARON,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROBERTO SANTIAGO,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROBERTO SERGIO OAZEN,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROCHA BARRETO,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROCHEDO DE MINAS,CAMPO GRANDE,Local,30,1,"1,0"
RUA RODOLFO BOTTINO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RODOLFO GARCIA,CAMPO GRANDE,Local,30,1,"1,0"
RUA RODOLFO TEÓFILO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RODRIGO HENRIQUES,CAMPO GRANDE,Local,30,1,"1,0"
RUA RODRIGO ULYSSES DE CARVALHO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RODRIGUES CAMPELO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RODRIGUES DE ABREU,CAMPO GRANDE,Local,30,1,"1,0"
RUA RODRIGUES DE OLIVEIRA,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROGERIO COELHO NETO,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROMEU DE AVELAR,CAMPO GRANDE,Local,30,1,"1,0"
RUA RONALDO DOS SANTOS,CAMPO GRANDE,Local,30,1,"1,0"
RUA RONALDO GALLO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RONDÔNIA,CAMPO GRANDE,Local,30,1,"1,0"
RUA RONERTO MACEDO,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROQUE MELQUÍADES,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROSA DE CARVALHO,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROSADA,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROSAS,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROSINHA DE VALENÇA,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROTARI,CAMPO GRANDE,Local,30,1,"1,0"
RUA ROUXINOL,CAMPO GRANDE,Local,30,1,"1,0"
RUA RUA MARIA DO CARMO CASTRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RUBEM DE FARIA NEVES,CAMPO GRANDE,Local,30,1,"1,0"
RUA RUBENS CUBEIRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA RUBENS FIRMO SANTOS,CAMPO GRANDE,Local,30,1,"1,0"
RUA RUBENS STEIMBAK ALMEIDA,CAMPO GRANDE,Local,30,1,"1,0"
RUA RUI PFUTZENREUTER,CAMPO GRANDE,Local,30,1,"1,0"
RUA S,CAMPO GRANDE,Local,30,1,"1,0"
RUA SABIÁ-BARRANCO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SABIÁ-COLEIRA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SABIÁ-FERREIRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SABIÁ-POCA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SABIÁ-UNA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SACRAMENTO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SACRAMENTO BLAKE,CAMPO GRANDE,Local,30,1,"1,0"
RUA SAFIRA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SALOA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SALOMÃO JOSÉ AUDI,CAMPO GRANDE,Local,30,1,"1,0"
RUA SAMBA PURO DE AMOR ,CAMPO GRANDE,Local,30,1,"1,0"
RUA SAMBA TRAZENDO ALVORADA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SAMPAIO DE LACERDA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SAMUEL MARTINS,CAMPO GRANDE,Local,30,1,"1,0"
RUA SAN DIEGO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SAN MARINO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANANDUVA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANDRA MOREYRA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTA ANGÉLICA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTA BRANCA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTA CACILDA DE TOLEDO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTA DOROTÉIA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTA ERMELINDA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTA GERTRUDES,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTA JULIANA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTA LUZIA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTA MÔNICA,CAMPO GRANDE,Local,20,1,"1,0"
RUA SANTA ZÉLIA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTO AMANDO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTO EUSTÁQUIO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTO EVARISTO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTO HIPÓLITO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTO IRINEU,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTO SIGFRIDO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SANTO TERÊNCIO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SAQUAREMA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARACURA-MATRACA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARDOAL,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARGENTO ABDIEL,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARGENTO ARGOLO SACRAMENTO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARGENTO CORIOLANO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARGENTO JAIME,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARGENTO JOSE VALÉRIO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARGENTO JOÃO BATISTA DIAS DA SILVA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARGENTO LUIZ RODRIGUES FILHO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARGENTO MOACYR DOS ANJOS,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARGENTO OSMAR CLARO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SARGENTO ROSA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SEABRA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SEBASTIÃO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SEBASTIÃO DA SILVA MAIA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SEBASTIÃO RIBEIRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SEBASTIÃO SANT´ANA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SEBASTIÃO SEVERINO DA SILVA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SEIS,CAMPO GRANDE,Local,30,1,"1,0"
RUA SEMENTES DE FLORES,CAMPO GRANDE,Local,30,1,"1,0"
RUA SENADOR DO BAIRRO IRACEMA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SENADOR GILBERTO MARINHO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SENADOR JOSE GUIOMARD,CAMPO GRANDE,Local,30,1,"1,0"
RUA SENADOR LINEU PRESTES,CAMPO GRANDE,Local,30,1,"1,0"
RUA SENHORA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SENSITIVA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SERAPHIM SOPHIA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SERGIO LOPES,CAMPO GRANDE,Local,30,1,"1,0"
RUA SERGIO RANGEL BARBOSA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SERRANA,CAMPO GRANDE,Local,20,1,"1,0"
RUA SERRARIA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SESSENTA - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA SESSENTA E CINCO - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA SESSENTA E NOVE - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA SESSENTA E OITO - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA SESSENTA E SEIS - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA SESSENTA E SETE - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA SESSENTA E TRÊS - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA SETE,CAMPO GRANDE,Local,30,1,"1,0"
RUA SETE - PAL 44556,CAMPO GRANDE,Local,20,1,"1,0"
RUA SETE DE SETEMBRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SETENTA - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA SETENTA E CINCO,CAMPO GRANDE,Local,20,1,"1,0"
RUA SETENTA E DOIS - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA SETENTA E QUATRO - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA SETENTA E SETE - PAL 24477,CAMPO GRANDE,Local,30,1,"1,0"
RUA SEVERINO DA SILVA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SEVERINO ELISA DE CASTRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SEVERINO FERREIRA DA COSTA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SIDÔNIO PINHEIRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SILVES,CAMPO GRANDE,Local,30,1,"1,0"
RUA SILVIO BARBATO (MAESTRO),CAMPO GRANDE,Local,30,1,"1,0"
RUA SILVIO LEITÃO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SILVIO MOREIRA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SIMÃO CURY,CAMPO GRANDE,Local,30,1,"1,0"
RUA SIMÕES LOBO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SIVUCA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO ALCEBÍADES DA CUNHA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO ALDEMAR FERRUGEM,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO AMARILIO DE QUEIROZ,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO ANTONIO DA SILVEIRA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO ANTONIO DE OLIVEIRA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO ARI AZEVEDO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO ATUALPA LEITE FILHO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO BENEDITO DA SILVA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO BERLI VIEIRA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO BRASÍLIO DE ALMEIDA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO CELSO LIMA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO DURVALINO ESPIRITO SANTO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO ELIAQUIM BATISTA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO ERNEZITO CHAGAS,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO FRANCISCO DOS SANTOS,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO FRANCISCO MALAFAIA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO FRANCISCO SAVASTANA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO GAMA LOPES,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO GERHARDT HOLTZ,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO HELENO RAMOS,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO HIVIL MILIATO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO ISIDRO MATOSO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO JACINTO COSTA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO JOSÉ DE SOUSA ,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO JOÃO PEÇANHA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO JOÃO PIMENTEL,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO LINDO SARDAGNA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO LUCINDO CEBALHO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO MANASSES BARROS,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO MAURICIO RODRIGUES,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO OLÍMPIO BORGES,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO PEDRO LAURINDO FILHO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO RAFAEL BUZARELO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO VALDEMAR DE ALMEIDA ,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLDADO VENCESLAU SPANCERSKI ,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLON BOTELHO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SOLÂNEA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SONIA MENDONÇA FERREIRA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SPINOZA,CAMPO GRANDE,Local,30,1,"1,0"
RUA STUART,CAMPO GRANDE,Local,30,1,"1,0"
RUA STÊNIO DANTAS,CAMPO GRANDE,Local,30,1,"1,0"
RUA SUANY M. MORGADO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SUCUPIRA AMARELA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SUDA STELARO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SUELLY DE SOUZA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SUELY KANAYAMA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SUIÇA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SURIMBABA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SURUQUAI,CAMPO GRANDE,Local,30,1,"1,0"
RUA SYLVIA ZENÓBIO DE ASSUMPÇÃO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SYLVIO MAGALHÃES LUSTOSA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO BASÍLIO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO BENTO DO SUL,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO CELESTINO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO CIRILO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO COSME E DAMIÃO,CAMPO GRANDE,Local,20,1,"1,0"
RUA SÃO DAMASO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO DOMICIANO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO DONATO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO FILEIAS,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO GERMANO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO GERVÁSIO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO GODUINO,CAMPO GRANDE,Local,20,1,"1,0"
RUA SÃO JACINTO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO JORGE,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO JOSÉ,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO LUPICÍNIO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO MAGNO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO MARCELINO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO MARMETINO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO MARTINHO DE BRAGA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO NATALAN,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO PAULO DE OLIVENCA,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO POTITO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO ROMÃO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO SABINIANO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO SALVADOR DA BAIXA DO SAPATEIRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO SEBASTIÃO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO SEPÉ,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO TITO,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÃO VASCONCELOS TORRES,CAMPO GRANDE,Local,30,1,"1,0"
RUA SÉRGIO MILLIET,CAMPO GRANDE,Local,30,1,"1,0"
RUA TABAÍ,CAMPO GRANDE,Local,30,1,"1,0"
RUA TABEL PINHO,CAMPO GRANDE,Coletora,30,2,"1,0"
RUA TABOAS,CAMPO GRANDE,Local,20,1,"1,0"
RUA TAIGUARA,CAMPO GRANDE,Local,30,1,"1,0"
RUA TANCREDO NEVES,CAMPO GRANDE,Local,30,1,"1,0"
RUA TAPES,CAMPO GRANDE,Local,30,1,"1,0"
RUA TAPINAS,CAMPO GRANDE,Local,30,1,"1,0"
RUA TAQUAREMBO,CAMPO GRANDE,Local,30,1,"1,0"
RUA TARAUACÁ,CAMPO GRANDE,Local,30,1,"1,0"
RUA TARGINO RIBEIRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA TARSILA DO AMARAL,CAMPO GRANDE,Local,30,1,"1,0"
RUA TATUOCA,CAMPO GRANDE,Local,30,1,"1,0"
RUA TAUFIK DIB,CAMPO GRANDE,Local,30,1,"1,0"
RUA TAUÁ,CAMPO GRANDE,Local,30,1,"1,0"
RUA TECAI,CAMPO GRANDE,Local,30,1,"1,0"
RUA TEIXEIRA DE ARAGÃO,CAMPO GRANDE,Local,30,1,"1,0"
RUA TEIXEIRA JÚNIOR,CAMPO GRANDE,Local,30,1,"1,0"
RUA TELES DA SILVA,CAMPO GRANDE,Local,30,1,"1,0"
RUA TENDI,CAMPO GRANDE,Local,30,1,"1,0"
RUA TENENTE CARNEIRO DA CUNHA,CAMPO GRANDE,Local,30,1,"1,0"
RUA TENENTE JOÃO GLISSON,CAMPO GRANDE,Local,30,1,"1,0"
RUA TENENTE LAURO DE SANTANA ROSA,CAMPO GRANDE,Local,20,1,"1,0"
RUA TENENTE RONALDO SANTORO,CAMPO GRANDE,Local,30,1,"1,0"
RUA TENENTE XAVIER,CAMPO GRANDE,Local,30,1,"1,0"
RUA TERRA SANTA,CAMPO GRANDE,Local,30,1,"1,0"
RUA THIAGO PONTES,CAMPO GRANDE,Local,30,1,"1,0"
RUA TIARAJU,CAMPO GRANDE,Local,30,1,"1,0"
RUA TIETINGA,CAMPO GRANDE,Local,30,1,"1,0"
RUA TIMBAUBA,CAMPO GRANDE,Local,30,1,"1,0"
RUA TONINHO BAIANO,CAMPO GRANDE,Local,30,1,"1,0"
RUA TOPÁZIO,CAMPO GRANDE,Local,30,1,"1,0"
RUA TOROQUÁ,CAMPO GRANDE,Local,30,1,"1,0"
RUA TORQUATO DE ARAUJO NETO,CAMPO GRANDE,Local,30,1,"1,0"
RUA TORRICELLI,CAMPO GRANDE,Local,30,1,"1,0"
RUA TREZE,CAMPO GRANDE,Local,30,1,"1,0"
RUA TRINCA FERRO,CAMPO GRANDE,Local,30,1,"1,0"
RUA TRONCO DO IPÊ,CAMPO GRANDE,Local,30,1,"1,0"
RUA TRÊS,CAMPO GRANDE,Local,30,1,"1,0"
RUA TRÊS CACHOEIRAS,CAMPO GRANDE,Local,30,1,"1,0"
RUA TRÊS PAA 11917/PAL 46261,CAMPO GRANDE,Local,30,1,"1,0"
RUA TULIPA,CAMPO GRANDE,Local,30,1,"1,0"
RUA TUPACERETA,CAMPO GRANDE,Local,30,1,"1,0"
RUA TUPANATINGA,CAMPO GRANDE,Local,30,1,"1,0"
RUA TURQUESA,CAMPO GRANDE,Local,30,1,"1,0"
RUA ULTIMO DE CARVALHO,CAMPO GRANDE,Local,30,1,"1,0"
RUA UM,CAMPO GRANDE,Local,30,1,"1,0"
RUA UM - 1,CAMPO GRANDE,Local,30,1,"1,0"
RUA UM TRÊM PARA AS ESTRELAS,CAMPO GRANDE,Local,30,1,"1,0"
RUA UMBU,CAMPO GRANDE,Local,30,1,"1,0"
RUA UNAÍ,CAMPO GRANDE,Local,30,1,"1,0"
RUA UNIDOS,CAMPO GRANDE,Local,30,1,"1,0"
RUA UNIÃO,CAMPO GRANDE,Local,30,1,"1,0"
RUA UNIÃO DA VITÓRIA,CAMPO GRANDE,Local,30,1,"1,0"
