fid,ext,tipo_infra,apenas_ano,fluxo_infr,inicio,contabilizar,data_implant,vias,area_plane,local_infr,executor,final,SHAPE__Length,rp,status,cod_rp
52,0.39505791,Faixa compartilhada na calçada,,Não identificado,Número 19,Sim,,Rua Professor Sousa Moreira,5,Na calçada,,Número 61,395.001112494516,Campo Grande,Implantada,5.2
53,0.24913134,Faixa compartilhada na calçada,,Bidirecional,Número 35,Sim,,Rua Álvaro Alberto,5,No bordo direito da pista,,Número 388,249.088020297006,Santa Cruz,Implantada,5.3
54,0.18272757,Faixa compartilhada na calçada,,Bidirecional,Próximo à Avenida Dom João VI,Sim,,Estrada da Matriz,5,Na calçada,,Número 5.611,182.701068931346,Guaratiba,Implantada,5.4
55,0.19788404,Faixa compartilhada na calçada,,"Unidirecional, no fluxo dos automóveis",Próximo ao número 106,Sim,,Estrada da Matriz,5,Na calçada,,Próximo à Avenida Dom João VI,197.85529343091,Guaratiba,Implantada,5.4
56,0.15199405,Faixa compartilhada na calçada,,"Unidirecional, no fluxo dos automóveis",Próximo à Avenida Dom João VI,Sim,,Estrada da Matriz,5,Na calçada,,Próximo ao número 106,151.972107809242,Guaratiba,Implantada,5.4
57,0.2203773,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 115,Sim,,Rua da Madeira,5,No bordo direito da pista,,Número 700,220.338216171847,Santa Cruz,Implantada,5.3
58,0.22264575,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 115,Sim,,Rua da Madeira,5,No bordo direito da pista,,Número 700,222.606273382716,Santa Cruz,Implantada,5.3
59,0.52932064,Ciclofaixa,,Bidirecional,Número 1320,Sim,,Praia do Recôncavo,5,No bordo direito da pista,,Número 764,529.225472797613,Santa Cruz,Implantada,5.3
60,0.66077128,Faixa compartilhada na calçada,,Bidirecional,Número 764,Sim,,Praia do Recôncavo,5,Na calçada,,Rua da Madeira,660.653418291217,Santa Cruz,Implantada,5.3
61,0.61212793,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Estrada de Sepetiba,Sim,,Praia de Sepetiba,5,No bordo direito da pista,,Rua Doutor Ari Chagas,612.015612392238,Santa Cruz,Implantada,5.3
