Ano;Logradouro;Delito;Total
2021;Estrada Do Cafunda;Acidente de trânsito;10
2021;Estrada Do Cafunda;Lesão corporal culposa - trânsito;12
2021;Estrada Do Campinho;Acidente de trânsito;33
2021;Estrada Do Campinho;Lesão corporal culposa - trânsito;34
2021;Estrada Do Colegio;Acidente de trânsito;12
2021;Estrada Do Colegio;Lesão corporal culposa - trânsito;13
2021;Estrada Do Gabinal;Acidente de trânsito;14
2021;Estrada Do Gabinal;Lesão corporal culposa - trânsito;17
2021;Estrada Do Galeao;Acidente de trânsito;32
2021;Estrada Do Galeao;Lesão corporal culposa - trânsito;29
2021;Estrada Do Itanhanga;Acidente de trânsito;11
2021;Estrada Do Itanhanga;Lesão corporal culposa - trânsito;13
2021;Estrada Do Lameirao;Acidente de trânsito;10
2021;Estrada Do Lameirao;Lesão corporal culposa - trânsito;10
2021;Estrada Do Magarca;Acidente de trânsito;33
2021;Estrada Do Magarca;Lesão corporal culposa - trânsito;37
2021;Estrada Do Mato Alto;Acidente de trânsito;24
2021;Estrada Do Mato Alto;Lesão corporal culposa - trânsito;27
2021;Estrada Do Mendanha;Acidente de trânsito;25
2021;Estrada Do Mendanha;Lesão corporal culposa - trânsito;30
2021;Estrada Do Monteiro;Acidente de trânsito;13
2021;Estrada Do Monteiro;Lesão corporal culposa - trânsito;16
2021;Estrada Do Pau Ferro;Acidente de trânsito;26
2021;Estrada Do Pau Ferro;Lesão corporal culposa - trânsito;25
2021;Estrada Do Piai;Acidente de trânsito;25
2021;Estrada Do Piai;Lesão corporal culposa - trânsito;25
2021;Estrada Do Portela;Acidente de trânsito;11
2021;Estrada Do Portela;Lesão corporal culposa - trânsito;15
2021;Estrada Do Pre;Acidente de trânsito;13
2021;Estrada Do Pre;Lesão corporal culposa - trânsito;15
2021;Estrada Do Rio Grande;Acidente de trânsito;11
2021;Estrada Do Rio Grande;Lesão corporal culposa - trânsito;11
2021;Estrada Do Taquaral;Lesão corporal culposa - trânsito;11
2021;Estrada Do Tindiba;Acidente de trânsito;12
2021;Estrada Do Tindiba;Lesão corporal culposa - trânsito;12
2021;Estrada Dos Bandeirantes;Acidente de trânsito;69
2021;Estrada Dos Bandeirantes;Atropelamento;16
2021;Estrada Dos Bandeirantes;Lesão corporal culposa - trânsito;80
2021;Estrada Intendente Magalhaes;Acidente de trânsito;27
2021;Estrada Intendente Magalhaes;Lesão corporal culposa - trânsito;26
2021;Estrada Joao Paulo;Acidente de trânsito;18
2021;Estrada Joao Paulo;Lesão corporal culposa - trânsito;17
2021;Estrada Marechal Alencastro;Acidente de trânsito;32
2021;Estrada Marechal Alencastro;Lesão corporal culposa - trânsito;34
2021;Estrada Marechal Miguel Salazar Mendes De Morais;Acidente de trânsito;12
2021;Estrada Marechal Miguel Salazar Mendes De Morais;Lesão corporal culposa - trânsito;17
2021;Estrada Rio-Sao Paulo;Acidente de trânsito;22
2021;Estrada Rio-Sao Paulo;Lesão corporal culposa - trânsito;22
2021;Linha Amarela;Acidente de trânsito;73
2021;Linha Amarela;Lesão corporal culposa - trânsito;74
2021;Linha Vermelha;Acidente de trânsito;21
2021;Linha Vermelha;Lesão corporal culposa - trânsito;21
2021;Praia Praia De Botafogo;Lesão corporal culposa - trânsito;10
2021;Rodovia Presidente Dutra;Acidente de trânsito;10
2021;Rua Andre Rocha;Acidente de trânsito;27
2021;Rua Andre Rocha;Lesão corporal culposa - trânsito;27
2021;Rua Avenida Paranapua;Lesão corporal culposa - trânsito;11
2021;Rua Barao De Mesquita;Acidente de trânsito;16
2021;Rua Barao De Mesquita;Lesão corporal culposa - trânsito;15
2021;Rua Barata Ribeiro;Acidente de trânsito;11
2021;Rua Barata Ribeiro;Lesão corporal culposa - trânsito;14
2021;Rua Bento Cardoso;Lesão corporal culposa - trânsito;12
2021;Rua Bulhoes Marcial;Acidente de trânsito;27
2021;Rua Bulhoes Marcial;Lesão corporal culposa - trânsito;32
2021;Rua Campo Grande;Acidente de trânsito;14
2021;Rua Campo Grande;Lesão corporal culposa - trânsito;11
2021;Rua Candido Benicio;Acidente de trânsito;42
2021;Rua Candido Benicio;Lesão corporal culposa - trânsito;47
2021;Rua Carlina;Acidente de trânsito;14
2021;Rua Carlina;Lesão corporal culposa - trânsito;14
2021;Rua Carolina Machado;Acidente de trânsito;25
2021;Rua Carolina Machado;Lesão corporal culposa - trânsito;26
2021;Rua Clarimundo De Melo;Acidente de trânsito;24
2021;Rua Clarimundo De Melo;Lesão corporal culposa - trânsito;24
2021;Rua Conde De Bonfim;Acidente de trânsito;30
2021;Rua Conde De Bonfim;Lesão corporal culposa - trânsito;29
2021;Rua Conselheiro Galvao;Acidente de trânsito;18
2021;Rua Conselheiro Galvao;Lesão corporal culposa - trânsito;21
2021;Rua Coronel Tamarindo;Acidente de trânsito;14
2021;Rua Coronel Tamarindo;Lesão corporal culposa - trânsito;14
2021;Rua Da Feira;Acidente de trânsito;14
2021;Rua Da Feira;Lesão corporal culposa - trânsito;14
2021;Rua Das Laranjeiras;Acidente de trânsito;24
2021;Rua Das Laranjeiras;Lesão corporal culposa - trânsito;23
2021;Rua Dias Da Cruz;Acidente de trânsito;18
2021;Rua Dias Da Cruz;Lesão corporal culposa - trânsito;21
2021;Rua Do Prado;Acidente de trânsito;10
2021;Rua Do Prado;Atropelamento;11
2021;Rua Do Prado;Homicídio culposo - trânsito;19
2021;Rua Edgard Werneck;Acidente de trânsito;21
2021;Rua Edgard Werneck;Lesão corporal culposa - trânsito;23
2021;Rua Estrada Da Cacuia;Acidente de trânsito;10
2021;Rua Estrada Da Cacuia;Lesão corporal culposa - trânsito;10
2021;Rua Estrada Do Galeao;Acidente de trânsito;35
2021;Rua Estrada Do Galeao;Lesão corporal culposa - trânsito;33
2021;Rua Felipe Cardoso;Acidente de trânsito;24
2021;Rua Felipe Cardoso;Lesão corporal culposa - trânsito;24
2021;Rua Ferreira De Andrade;Lesão corporal culposa - trânsito;10
2021;Rua Figueira De Melo;Acidente de trânsito;14
2021;Rua Figueira De Melo;Lesão corporal culposa - trânsito;15
2021;Rua Francisco Real;Acidente de trânsito;13
2021;Rua Francisco Real;Lesão corporal culposa - trânsito;13
2021;Rua Goias;Acidente de trânsito;13
2021;Rua Goias;Lesão corporal culposa - trânsito;14
2021;Rua Haddock Lobo;Acidente de trânsito;11
2021;Rua Haddock Lobo;Lesão corporal culposa - trânsito;12
2021;Rua Humaita;Acidente de trânsito;14
2021;Rua Humaita;Lesão corporal culposa - trânsito;15
2021;Rua Jardim Botanico;Acidente de trânsito;19
2021;Rua Jardim Botanico;Lesão corporal culposa - trânsito;20
2021;Rua Joao Vicente;Acidente de trânsito;21
2021;Rua Joao Vicente;Lesão corporal culposa - trânsito;20
2021;Rua Leopoldo Bulhoes;Acidente de trânsito;15
2021;Rua Leopoldo Bulhoes;Lesão corporal culposa - trânsito;17
2021;Rua Luis Beltrao;Acidente de trânsito;10
2021;Rua Luis Beltrao;Lesão corporal culposa - trânsito;10
2021;Rua Manoel Vitorino;Acidente de trânsito;12
2021;Rua Manoel Vitorino;Lesão corporal culposa - trânsito;15
2021;Rua Maxwell;Acidente de trânsito;14
2021;Rua Maxwell;Lesão corporal culposa - trânsito;15
2021;Rua Mercurio;Acidente de trânsito;12
2021;Rua Mercurio;Lesão corporal culposa - trânsito;12
2021;Rua Nilopolis;Homicídio culposo - trânsito;10
2021;Rua Olinda Ellis;Acidente de trânsito;10
2021;Rua Olinda Ellis;Lesão corporal culposa - trânsito;11
2021;Rua Pereira Nunes;Acidente de trânsito;16
2021;Rua Pereira Nunes;Lesão corporal culposa - trânsito;16
2021;Rua Real Grandeza;Lesão corporal culposa - trânsito;12
2021;Rua Riachuelo;Lesão corporal culposa - trânsito;13
